Title,Image
Regulatory reform takes all three branches,https://cei.org/wp-content/uploads/2022/04/White-House-GettyImages-137169606-578x324-c-default.jpg
Trump executive order restores consumer choice for home appliances,https://cei.org/wp-content/uploads/2025/05/GettyImages-1446609885-1-578x324-c-default.jpg
What the DOGE debates really reveal,https://cei.org/wp-content/uploads/2020/02/debate-578x324-c-default.png
Record tariff revenue is no match for record spending,
A light in the darkness: Federal preemption for AI regulation,
GOP proposal includes reductions in health care expenditures,
"Producer Price Index fell by 0.5 percent in April, price increases and lower demand likely cause: CEI analysis",
"Inflation gentler than expected in April, Trump’s tariff drawbacks helpful in easing costs: CEI analysis",
Trump executive order restores consumer choice for home appliances,
Dear Mr. President: The Letters of Julia Sand,https://cei.org/wp-content/uploads/2025/01/DMP-Trailer-Thumb-v1-1-768x432-c-default.jpg
Modernizing the EPA,https://cei.org/wp-content/uploads/2025/03/EPA-website-cover-578x324-c-default-1-768x432-c-default.png
Eye on FTC,https://cei.org/wp-content/uploads/2024/04/eye-banner-768x432-c-default.webp
The Case for Small and Big Business in America,https://cei.org/wp-content/uploads/2025/03/maxresdefault-4-768x432-c-default.png
Counterpoint: DOGE’s Swift but Not-So-Terrible Sword,
"House Reconciliation Bill Takes Aim At Regulation, But Needs Fixes",
Why do so many countries have tariffs?,
